words|counts
tragedie|4
hamlet|100
actus|2
primus|1
scoena|1
prima|1
enter|85
barnardo|8
francisco|2
two|22
centinels|1
fran|8
nay|26
answer|9
stand|15
vnfold|3
selfe|68
bar|7
long|17
liue|15
king|172
come|104
carefully|1
vpon|52
houre|5
tis|69
strook|1
twelue|5
get|9
thee|58
bed|13
releefe|1
much|43
thankes|9
bitter|3
cold|6
sicke|4
heart|30
barn|10
haue|178
quiet|5
guard|3
mouse|3
stirring|1
well|71
goodnight|9
meet|4
horatio|40
marcellus|10
riuals|1
watch|14
bid|6
make|54
hast|28
thinke|43
heare|31
hor|95
friends|19
ground|8
mar|31
leige|1
men|10
dane|6
giue|59
good|98
night|38
o|67
farwel|1
honest|11
soldier|2
hath|57
relieu|1
d|223
fra|1
ha|27
place|6
exit|18
holla|1
say|52
peece|6
welcome|16
thing|25
appear|3
againe|34
seene|20
nothing|27
saies|3
fantasie|2
let|104
beleefe|1
take|32
hold|25
touching|3
dreaded|1
sight|8
twice|4
vs|64
therefore|14
intreated|1
along|3
minutes|1
apparition|2
may|65
approue|1
eyes|20
speake|55
tush|2
twill|4
appeare|3
sit|8
downe|28
assaile|1
eares|9
fortified|1
story|2
nights|4
last|13
yond|1
starre|4
westward|1
pole|2
made|29
course|5
illume|1
part|18
heauen|44
burnes|2
bell|2
beating|3
one|46
peace|10
breake|9
ghost|21
looke|31
comes|23
figure|4
like|80
dead|30
thou|107
art|17
scholler|1
lookes|7
marke|13
hora|9
harrowes|1
fear|1
wonder|4
spoke|2
question|14
vsurp|1
st|29
time|44
together|10
faire|20
warlike|4
forme|12
maiesty|8
buried|6
denmarke|20
sometimes|5
march|5
charge|7
offended|3
see|48
stalkes|1
away|27
stay|11
gone|13
tremble|2
look|7
pale|8
something|12
god|26
might|30
beleeue|17
without|13
sensible|2
true|22
auouch|1
mine|44
owne|31
thy|90
armour|2
th|62
ambitious|3
norwey|5
combatted|1
frown|1
angry|1
parle|1
smot|1
sledded|1
pollax|1
ice|2
strange|9
thus|41
iust|3
martiall|1
stalke|1
particular|5
thought|14
work|1
know|71
grosse|2
scope|2
opinion|1
boades|1
erruption|1
state|13
tell|43
knowes|3
strict|1
obseruant|1
nightly|2
toyles|1
subiect|3
land|5
dayly|1
cast|6
brazon|1
cannon|4
forraigne|1
mart|1
implements|1
warre|2
impresse|1
ship|2
wrights|1
whose|27
sore|3
taske|1
diuide|1
sunday|1
weeke|1
toward|4
sweaty|1
doth|27
ioynt|2
labourer|1
day|25
informe|1
least|3
whisper|1
goes|13
image|4
euen|21
fortinbras|13
norway|4
thereto|1
prick|1
emulate|1
pride|1
dar|2
combate|1
valiant|3
side|2
knowne|7
world|25
esteem|1
slay|1
seal|5
compact|1
ratified|1
law|7
heraldrie|1
forfeite|1
life|33
lands|4
stood|4
seiz|1
conqueror|1
moity|1
competent|1
gaged|1
return|4
inheritance|1
bin|7
vanquisher|1
cou|1
nant|1
carriage|1
article|1
designe|1
fell|8
sir|62
young|9
vnimproued|1
mettle|2
hot|6
full|10
skirts|1
heere|50
shark|1
vp|36
list|6
landlesse|1
resolutes|1
foode|1
diet|2
enterprize|2
stomacke|1
vnto|5
recouer|3
strong|4
hand|19
termes|3
compulsatiue|1
foresaid|1
father|50
lost|8
maine|3
motiue|4
preparations|1
sourse|2
cheefe|2
head|26
post|2
romage|1
soft|8
behold|1
loe|3
ile|58
crosse|2
though|22
blast|2
illusion|1
sound|7
vse|13
voyce|10
done|23
ease|4
grace|13
speak|5
priuy|1
countries|2
fate|2
happily|2
foreknowing|1
auoyd|2
oh|81
hoorded|1
extorted|1
treasure|4
wombe|1
earth|21
spirits|5
oft|10
walke|9
death|37
stop|4
shall|107
strike|2
partizan|1
wrong|8
maiesticall|2
offer|4
shew|20
violence|4
ayre|12
invulnerable|1
vaine|1
blowes|2
malicious|2
mockery|1
cocke|5
crew|2
started|1
guilty|5
fearfull|1
summons|1
heard|14
trumpet|4
lofty|1
shrill|1
sounding|1
throate|2
awake|2
warning|1
whether|4
sea|6
fire|11
extrauagant|1
erring|1
spirit|14
hyes|1
confine|2
truth|6
heerein|4
present|3
obiect|1
probation|1
faded|1
crowing|1
sayes|6
euer|13
gainst|5
season|7
wherein|4
sauiours|1
birch|1
celebrated|1
bird|2
dawning|1
singeth|1
abroad|1
wholsome|5
planets|1
faiery|1
talkes|1
witch|1
power|8
charme|1
hallow|1
gracious|6
morne|2
russet|1
mantle|1
clad|1
walkes|2
re|23
dew|3
yon|1
high|3
easterne|1
hill|3
aduice|3
impart|4
yong|8
dumbe|6
consent|3
acquaint|1
needfull|2
loues|6
fitting|1
duty|8
pray|28
morning|4
finde|13
conueniently|1
exeunt|23
scena|3
secunda|2
claudius|1
gertrude|13
queene|39
polonius|20
laertes|35
sister|8
ophelia|28
lords|5
attendant|4
yet|37
deere|20
brothers|9
memory|7
